do_grid,loglik,loglik_se,value,parameter
83,-1463.079806,0.253659061,578.7338986,beta_mu
418,-1465.793857,0.371000894,459.5874365,beta_mu
881,-1493.322635,1.109630599,1776.550938,beta_mu
154,-1460.774219,0.18497633,460.15164,beta_mu
358,-1463.042116,0.319172097,618.5836475,beta_mu
888,-1459.7548,0.191661949,410.5355493,beta_mu
327,-1466.775956,0.169621018,216.4556466,beta_mu
168,-1460.633706,0.292874696,670.5930458,beta_mu
166,-1463.42269,0.314465082,622.1102759,beta_mu
899,-1463.659017,0.23811114,691.7350725,beta_mu
190,-1463.287558,0.41999805,194.1442795,beta_mu
900,-1464.283706,0.255505918,754.2422348,beta_mu
729,-1457.007114,0.327077657,534.937132,beta_mu
891,-1457.53462,0.294128958,558.1460465,beta_mu
722,-1459.321361,0.33901012,530.4245389,beta_mu
363,-1457.365451,0.187383341,382.2665786,beta_mu
877,-1488.064945,0.31736839,1556.515206,beta_mu
719,-1472.584309,0.248896097,806.0928688,beta_mu
723,-1464.22566,0.387009576,530.0901116,beta_mu
987,-1484.731722,0.261484315,1387.911371,beta_mu
299,-1463.659017,0.23811114,691.7350725,beta_mu
896,-1461.119964,0.354314673,585.123382,beta_mu
188,-1466.132099,0.272478581,858.6315241,beta_mu
863,-1462.48087,0.133924839,713.4501826,beta_mu
529,-1457.007114,0.327077657,534.937132,beta_mu
600,-1465.623871,0.353783671,212.8268044,beta_mu
304,-1465.193358,0.279188301,272.5567036,beta_mu
860,-1457.668116,0.11589135,677.7808117,beta_mu
589,-1468.513475,0.487501227,282.646843,beta_mu
141,-1463.757555,0.097608611,213.7860707,beta_mu
156,-1457.836477,0.093375332,420.4387002,beta_mu
301,-1458.392502,0.168274272,541.0884121,beta_mu
296,-1461.119964,0.354314673,585.123382,beta_mu
604,-1471.688133,0.229608706,1043.06121,beta_mu
80,-1458.154088,0.159910709,492.2061934,beta_mu
526,-1459.299409,0.15543318,388.6136427,beta_mu
720,-1467.046659,0.264690012,770.5655081,beta_mu
196,-1465.942488,0.175451288,584.6969404,beta_mu
890,-1459.817059,0.267477342,664.494445,beta_mu
392,-1460.691218,0.232857942,528.309966,beta_mu
859,-1469.577377,0.256311018,243.1553352,beta_mu
976,-1461.41284,0.119766979,776.4630314,beta_mu
596,-1465.942488,0.175451288,584.6969404,beta_mu
599,-1463.920993,0.381626408,497.1564694,beta_mu
189,-1468.513475,0.487501227,282.646843,beta_mu
972,-1460.061498,0.191548752,487.946764,beta_mu
41,-1489.377517,1.033404022,1862.241767,beta_mu
581,-1465.291598,0.511845599,796.3823022,beta_mu
364,-1458.116596,0.202089338,513.9127589,beta_mu
428,-1469.849627,0.662986809,112.1786695,beta_mu
280,-1458.154088,0.159910709,492.2061934,beta_mu
