"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","I_0","tau"
398,-1269.20592305363,0.00995802967283893,3842.94873705556,3.30102561504833e-07,-5.52601053116076,-1.43910534871481,0.42892937034852,0.653698140626869,-3.40554354848637,-1.63497681416694,11.6625534471985,0.172431750323578,0.470955291884506,0.000367268682946646,13.6650924527119
275,-1179.53919868002,0.012868915598369,3893.28572942733,0.00119041929101127,-8.47634495281481,-0.237198930685127,0.406092828404577,1.04956214362246,-4.53538075432241,-1.21280604009418,10.8006558545984,0.212411981532115,0.52902785828615,0.00497785999586893,7.45711279293969
989,-1104.60056966386,0.0179875425945077,427.136831835836,6.35597389183247e-07,-0.376263184130414,-0.215300871779464,1.00337205977117,-3.331017796639,-1.14498918971159,-0.3060829337857,16.7445618227862,0.153098783984761,0.0395597166160355,1.49054649661953e-06,5.00423055599662
686,-1211.69287440849,0.0140838830488088,439.276759580086,4.83005874665916e-05,-1.19451589040205,-0.286518788653597,0.475372996100714,-4.21079800525325,-5.61635960506688,0.251250798355402,24.9913668697092,0.134826213539994,0.0470448227875242,2.76075029486726e-06,10.33931994658
624,-1358.68951171541,0.00582076845615101,4092.39753341661,3.71676853301458e-06,-11.4517695643196,-1.95436937898803,0.398983582433092,0.206550744599746,-2.79330843465174,-5.56748551348116,12.7597685985345,0.158186286082345,0.347049421190634,0.00111637304819524,22.5987387702984
94,-1209.85800234524,0.0125514846076808,3993.42650779077,0.000234656360847776,-11.9788625866456,-0.694833431134549,0.227529848324141,0.919863617340459,-4.12253928927029,-2.20157710548264,11.1471977966066,0.189135473852311,0.433603614100202,0.000459312128424118,9.31000305298209
706,-1353.45729006817,0.00911060870384761,3989.71349302074,0.000293887178431502,-8.06034240205599,-1.864367950309,0.360765749383173,0.392226757743429,-2.98010044536283,-2.59269779601045,12.8550786848103,0.158460973833,0.354355931724442,0.000874356368379737,21.9883366893489
429,-1200.97310400532,0.0171322548699352,455.270639120485,0.000114839797148653,-1.36683308653081,-0.194962080180983,0.360284534319032,-3.96992352849411,-5.40235040126187,0.229785535742257,24.9060215037944,0.140776747689505,0.0454335314255363,1.50209238796328e-06,9.67911095368603
525,-1067.48711693415,0.0238500962643812,460.1748610459,9.85718282176253e-05,-0.938799041796152,-0.224409457946764,0.9436445183289,-3.7774885879071,-2.40934353057382,0.107858237305898,15.7560593610802,0.165287508172849,0.0350532351399338,4.68476025702287e-05,3.6305857008187
542,-1416.24755100095,0.00491863940896739,3999.04482497797,1.18164060968369e-06,-6.0848414061115,-2.28272714350781,0.543637833895087,0.0961822939891219,-2.10284226197786,-3.29638431920744,14.384005914135,0.147063490471855,0.478199637438622,0.00520246450144828,30.357406585266
800,-1067.20882934427,0.0245114553385271,450.700351791493,0.00188453276226136,-0.527932132154803,-0.0931411202294462,1.07619845058843,-3.14198794733884,-1.18232841746851,-0.208706955633628,16.8091460147415,0.171518361905734,0.0332577212482942,9.54470048130102e-06,3.66343078673534
991,-1322.71548632138,0.00762881922584489,4046.30748198293,0.000102976167000954,-7.9514304103972,-2.15016910897099,0.566908609089125,0.223109108552131,-2.91085688068326,-3.94472524968277,12.4529496401859,0.162235005020723,0.350257767174859,0.000599623351637069,18.6067412964858
949,-1442.89032455941,0.00495355699194465,4261.9660121681,3.281650582497e-05,-7.6134111165484,-2.82036141108876,0.747673809608413,-0.255296953146846,-1.40619257726981,-8.56887982056929,14.7845950067993,0.142697870133682,0.511388718225172,0.000402136914580238,34.5827664524283
992,-1120.91272250498,0.0184958848001964,427.928291570753,0.000335495981917893,-0.426387707767008,-0.151933851205866,1.00364258077353,-2.95135203920068,-1.40935750841399,-0.128241152042291,18.8997149691371,0.159032816647439,0.0370404601358595,4.46729250829809e-06,5.6641448812995
