"do_grid","loglik","loglik_se","value","parameter"
447,-7567.00382399178,13.4693436159029,0.347,"rho"
203,-5917.53762298581,61.0351699037289,0.07,"rho"
459,-7484.44299374171,1.72186092404727,0.422,"rho"
73,-4236.55516776431,98.6175618181342,0.51,"rho"
149,-7575.66009057467,36.2620797475211,0.359,"rho"
487,-6832.93640440474,83.5299509299077,0.599,"rho"
454,-7617.71679714694,6.51394712917744,0.391,"rho"
23,-2775.1092331168,0.931123398652234,0.196,"rho"
36,-7838.30600303774,1.21517622826123,0.277,"rho"
407,-7490.45540639894,23.3969783181906,0.095,"rho"
442,-7591.13933424646,2.91233738348654,0.315,"rho"
461,-7154.04525020171,0.931090958621696,0.435,"rho"
479,-6688.49434617553,19.9778501182141,0.548,"rho"
489,-6387.4386905509,6.01346502490458,0.611,"rho"
158,-7354.97080339739,9.88074943370075,0.416,"rho"
492,-6927.25269071152,31.4417651751672,0.63,"rho"
499,-6858.35386794388,52.0958170356414,0.674,"rho"
456,-7270.34889660785,3.18013635049526,0.403,"rho"
498,-6543.48712731139,19.2792049562277,0.668,"rho"
309,-8248.14781437626,18.7180158835397,0.107,"rho"
347,-7428.40815610078,16.5852256472726,0.347,"rho"
490,-6172.69929790184,57.2689231470028,0.617,"rho"
20,-2848.32726594481,41.3924571300521,0.177,"rho"
21,-3404.48902181375,37.0322189481899,0.183,"rho"
496,-6329.34835363428,6.14790770614093,0.655,"rho"
132,-8072.78940688327,12.5778131738096,0.252,"rho"
305,-5250.61529056838,80.8015027639765,0.082,"rho"
340,-8023.25163410139,2.42173450626346,0.303,"rho"
11,-8157.0230410658,1.89960289432925,0.12,"rho"
125,-2630.68405117677,1.39499659515572,0.208,"rho"
603,-6988.97832732942,4.406130096919,0.07,"rho"
8,-7789.16114068197,16.7833886959228,0.101,"rho"
506,-6157.46715414968,39.6492485278619,0.089,"rho"
606,-6480.94237843924,54.8544573019248,0.089,"rho"
605,-6477.51736365755,22.7807174073554,0.082,"rho"
617,-3622.46254555465,17.5383099706599,0.158,"rho"
610,-3986.58508664247,29.7254760508517,0.114,"rho"
531,-8119.82296432132,37.8679835505372,0.246,"rho"
318,-4581.71017372531,4.48345357688586,0.164,"rho"
616,-2242.80447721898,7.0935533596929,0.151,"rho"
522,-7791.00386341673,8.93984313957826,0.189,"rho"
398,-6837.73635008974,37.9919687899671,0.668,"rho"
613,-4851.12514896903,13.0933580310566,0.133,"rho"
104,-6221.6512976982,8.01589886794943,0.076,"rho"
623,-2694.62508297353,9.68566741882048,0.196,"rho"
