Parameter,median_value,upper_95,lower_95,upper_50,lower_50
Rnaught[110],2.288342544733185e-6,3.353327178959347e-6,1.5186108292062641e-6,2.6063857749508093e-6,2.0029313817985227e-6
Rnaught[111],2.280784175759244e-6,3.292991881449933e-6,1.5280246361924747e-6,2.57772120789237e-6,2.0106419591843065e-6
Rnaught[112],2.220742784899633e-6,3.1746822454458237e-6,1.4927024024808315e-6,2.5035126941695666e-6,1.9591636854889812e-6
Rnaught[113],2.141902575176783e-6,3.0452789337268047e-6,1.4322116344072893e-6,2.426759408621884e-6,1.877850093466488e-6
Rnaught[114],2.069784227171455e-6,2.996280080464988e-6,1.358653026375605e-6,2.361060561577905e-6,1.8051153613122562e-6
Rnaught[115],2.030353402451755e-6,3.0152065367380164e-6,1.3069209246037427e-6,2.3345208625596854e-6,1.7515261658174705e-6
Rnaught[116],1.9999231173312598e-6,3.0149599619691042e-6,1.2562694049486923e-6,2.321813805182944e-6,1.7116594304684516e-6
Rnaught[117],1.9770459754936045e-6,3.049226295528579e-6,1.2283046729501873e-6,2.3124205888453505e-6,1.6885888290440597e-6
Rnaught[118],1.9642495934473155e-6,3.094657167870344e-6,1.1968643843296874e-6,2.3089006311435135e-6,1.6665915343913121e-6
Rnaught[119],1.9612355958918203e-6,3.0884582014428433e-6,1.174730786274991e-6,2.306665088962688e-6,1.6563051199460303e-6
Rnaught[120],1.9495399913214406e-6,3.097521063902592e-6,1.1530470102591206e-6,2.2985202055213344e-6,1.647921314321127e-6
Rnaught[121],1.9386744333408025e-6,3.0994578884070847e-6,1.1383717577662039e-6,2.2788993657328983e-6,1.6304603098575986e-6
Rnaught[122],1.91147310935162e-6,3.0877630541174673e-6,1.128444857405932e-6,2.2522656423911485e-6,1.6175037211130878e-6
Rnaught[123],1.8900839042522009e-6,3.0244132830248255e-6,1.1244588894787217e-6,2.232372316757844e-6,1.5987579913695988e-6
Rnaught[124],1.8784887456061383e-6,2.9667128769758053e-6,1.1021738849462262e-6,2.203800586492956e-6,1.5856996647180044e-6
Rnaught[125],1.8550471967772465e-6,2.9041112748731227e-6,1.0828667610838678e-6,2.1738287833880078e-6,1.56379047663104e-6
Rnaught[126],1.8410238996659144e-6,2.8409366718502507e-6,1.0782513774764393e-6,2.149215675061058e-6,1.5582437901266526e-6
Rnaught[127],1.8318555939677164e-6,2.792225653087339e-6,1.0877276443535048e-6,2.128744054960769e-6,1.5568522713816045e-6
Rnaught[128],1.8301439918062336e-6,2.7638386809944157e-6,1.1002725030100002e-6,2.116421666522629e-6,1.564914269426024e-6
Rnaught[129],1.8339182937422557e-6,2.7746647921299925e-6,1.1295593879639827e-6,2.11394967014713e-6,1.5799729058296925e-6
Rnaught[130],1.848844672804951e-6,2.783420996358745e-6,1.1530209172514633e-6,2.122768319853957e-6,1.5996401274924697e-6
Rnaught[131],1.8627338097014796e-6,2.8209261644179307e-6,1.1837573661683503e-6,2.1480361097058622e-6,1.613877081086075e-6
Rnaught[132],1.8848840473246927e-6,2.8947068315944514e-6,1.2205279930552594e-6,2.169047161066959e-6,1.6331433990312592e-6
Rnaught[133],1.9173867060344043e-6,2.956383667040417e-6,1.2495888918654596e-6,2.2090297063667893e-6,1.6613695802553506e-6
Rnaught[134],1.9478592115984677e-6,2.9916355805131603e-6,1.2798052965648708e-6,2.2541673773685894e-6,1.6923235774272838e-6
Rnaught[135],1.981780165257106e-6,3.033200846719923e-6,1.3024224449299766e-6,2.2906512926101626e-6,1.720618725456159e-6
Rnaught[136],2.0117512555103126e-6,3.060729427843689e-6,1.3241653891581308e-6,2.3179537656317476e-6,1.7483192586065735e-6
Rnaught[137],2.0370073133225627e-6,3.0179546850061118e-6,1.3541789984191027e-6,2.3411487631670043e-6,1.7701590496438242e-6
Rnaught[138],2.0480161959396485e-6,3.0123615474721007e-6,1.3515898759892749e-6,2.3470846298973763e-6,1.7813468468127504e-6
Rnaught[139],2.0559694128318845e-6,3.00595805160967e-6,1.3484928137969843e-6,2.3541494507752305e-6,1.7837192523844866e-6
Rnaught[140],2.043104349669695e-6,2.963106068410325e-6,1.3309037185447398e-6,2.3304731637820898e-06,1.7748795659617778e-6
Rnaught[141],2.0315855302829467e-6,2.9610735888549563e-6,1.3105533043737715e-6,2.3211848510311608e-6,1.762525501076931e-6
Rnaught[142],2.026620877727306e-6,2.9798942589301677e-6,1.279982489553994e-6,2.3227991717487886e-6,1.74661895698215e-6
Rnaught[143],2.0230396086465564e-6,3.0485052837429003e-6,1.2799748821241176e-6,2.33412485015897e-6,1.7397346694523634e-6
Rnaught[144],2.0261978558216526e-6,3.0788289905142367e-6,1.2633989849560943e-6,2.348141105882967e-6,1.739801189646028e-6
Rnaught[145],2.0423313284329715e-6,3.138300343568922e-6,1.2479856948074856e-6,2.369465784529813e-6,1.7426160273020387e-6
Rnaught[146],2.059639809462169e-6,3.186762306489107e-6,1.2297562889738517e-6,2.3991861604890514e-6,1.7499607632246395e-6
Rnaught[147],2.0620182608439757e-6,3.2572301371849732e-6,1.2086018090889648e-6,2.4138711114590633e-6,1.7429414724320446e-6
Rnaught[148],2.0760336486003145e-6,3.313559505354576e-6,1.1862884319083046e-6,2.449979399415954e-6,1.7419275298436459e-6
Rnaught[149],2.0837076366843563e-6,3.4108003954489472e-6,1.1593066615363262e-6,2.473099958887802e-6,1.7288866532997205e-6
Rnaught[150],2.0738882052523197e-6,3.5636670120148464e-6,1.129416953855138e-6,2.506242280194513e-6,1.7021831017533043e-6
Rnaught[151],2.0543029910591054e-6,3.697089414123275e-6,1.0883996635246083e-6,2.5155755645815038e-6,1.6679908060984795e-6
Rnaught[152],2.0407266676220924e-6,3.958765354739429e-6,1.0447310289048584e-6,2.5447353921476717e-6,1.6337530746719923e-6
Rnaught[153],2.0286366748410984e-6,4.395055642751303e-6,9.961575423418788e-7,2.5801554603004312e-6,1.5979793726250679e-6
Rnaught[154],2.0159637848270004e-6,4.577670222807222e-6,9.421483604233031e-7,2.619822523385892e-6,1.5606306894112393e-6
Rnaught[155],2.004693463365933e-6,4.88145047958104e-6,8.80974356839977e-7,2.6648548863733845e-6,1.5199049029162053e-6
Rnaught[156],1.9873263054842606e-6,5.1396735747284875e-6,8.177088524970479e-7,2.692698201367501e-6,1.4770006534529781e-6
S[1],301476,303258,300030,301735,301152
S[2],302590,304337,301162,302841,302282
S[3],303341,304988,302077,303582,303086
S[4],303396,304632,302351,303686,303067
S[5],302272,303646,300375,302823,301731
S[6],299545,302350,296867,300686.25,298718
S[7],295777,300012,293350,297262,294748
S[8],292210,297252,289875.975,293497,291244
S[9],289716,294740,287492,290932,288872
S[10],288456,292902,286586,289635,287795
S[11],288229,291808,287022,289336,287809
S[12],288720,291471,288048,289609,288452
S[13],289644,291675,289255,290294,289446
S[14],290731,292258.025,290502,291260,290618
S[15],291946,293143,291788,292385,291879
S[16],293221,294183.025,293094,293622,293178
S[17],294526,295315,294409,294902,294488
S[18],295841,296507,295728,296195,295805
S[19],297158,297735,297049,297504,297124
S[20],298477,298991,298371,298819,298444
S[21],299797,300261,299693,300123,299765
S[22],301119,301564,301015,301419,301086
S[23],302440,302875,302338,302729,302407
S[24],303761,304191,303661,304041,303729
S[25],305082,305505,304984,305347,305050
S[26],306403,306813,306306,306647,306371
S[27],307724,308119,307628,307943,307692
S[28],309084,309458,308991,309279,309054
S[29],310444,310796,310354,310612,310414
S[30],311804,312129,311715,311946,311774
S[31],313163,313454,313077,313269.25,313133
S[32],314521,314776,314438,314589,314490
S[33],315879,316099,315800,315913,315846
S[34],317234,317422,317163,317257,317201
S[35],318587,318756,318525,318611,318558
S[36],319941,320098,319887,319967,319915
S[37],321296,321437,321249,321324,321273
S[38],322653,322778,322611,322681,322632
S[39],324012,324121,323973,324038,323992
S[40],325372,325467,325335,325396,325352
S[41],326733,326815,326698,326755,326714
S[42],328094,328168,328061,328115,328077
S[43],329456,329524,329424,329475,329439
S[44],330818,330882,330787,330836,330801
S[45],332180,332241,332149,332198,332163
S[46],333542,333600,333511,333559,333525
S[47],334904,334961,334872,334921,334887
S[48],336266,336322,336232,336283,336249
S[49],337627,337684,337592,337645,337612
S[50],338989,339045,338953,339007,338974
S[51],340350,340407,340315,340369,340336
S[52],341711,341769,341677,341730,341697
S[53],343072,343130,343038,343092,343058
S[54],344475,344532,344440,344495,344461
S[55],345877,345933,345841,345897,345863
S[56],347278,347333,347241,347297,347264
S[57],348678,348734,348641,348697,348665
S[58],350077,350133,350040,350096,350065
S[59],351477,351531,351440,351494,351465
S[60],352876,352927,352841,352892,352864
S[61],354276,354325,354242,354290,354263
S[62],355676,355723,355643,355690,355662
S[63],357077,357121,357044,357091,357062
S[64],358479,358519,358446,358493,358463
S[65],359881,359920,359849,359895,359865
S[66],361284,361321,361252,361298,361268
S[67],362687,362723,362656,362702,362672
S[68],364091,364125,364060,364106,364075
S[69],365495,365528,365465,365510,365479
S[70],366900,366932,366869,366914,366884
S[71],368304,368336,368275,368319,368289
S[72],369709,369740,369680,369723,369694
S[73],371113,371145,371085,371127,371099
S[74],372517,372549,372490,372532,372504
S[75],373922,373954,373894,373936,373908
S[76],375326,375358,375299,375340,375313
S[77],376730,376762,376703,376744,376717
S[78],378133,378165,378107,378147,378121
S[79],379536,379569,379511,379550,379525
S[80],380982,381015,380958,380996,380972
S[81],382428,382461,382405,382442,382419
S[82],383874,383907,383852,383887,383865
S[83],385320,385353,385298,385333,385311
S[84],386766,386799,386744,386779,386757
S[85],388212,388244,388190,388224,388203
S[86],389658,389691,389636,389670,389650
S[87],391105,391136,391082,391115,391096
S[88],392551,392581,392528,392561,392543
